province,year,subject_type,major,min_score,min_rank,batch,source_file,source_url
河北,2023,历史,法学,607,2072,本科批,hebut_hebei.xlsx,
河北,2024,历史,法学,617,2189,本科批,hebut_hebei.xlsx,
河北,2025,历史,法学,623,2181,本科批,hebut_hebei.xlsx,
河北,2023,历史,思想政治教育,599,2787,本科批,hebut_hebei.xlsx,
河北,2024,历史,思想政治教育,612,2764,本科批,hebut_hebei.xlsx,
河北,2025,历史,思想政治教育,616,3051,本科批,hebut_hebei.xlsx,
河北,2023,历史,汉语国际教育,596,3109,本科批,hebut_hebei.xlsx,
河北,2024,历史,汉语国际教育,609,3124,本科批,hebut_hebei.xlsx,
河北,2025,历史,汉语国际教育,612,3660,本科批,hebut_hebei.xlsx,
河北,2023,历史,公共事业管理,,,本科批,hebut_hebei.xlsx,
河北,2024,历史,公共事业管理,,,本科批,hebut_hebei.xlsx,
河北,2025,历史,公共事业管理,611,3836,本科批,hebut_hebei.xlsx,
河北,2023,历史,英语,590,3808,本科批,hebut_hebei.xlsx,
河北,2024,历史,英语,604,3741,本科批,hebut_hebei.xlsx,
河北,2025,历史,英语,608,4350,本科批,hebut_hebei.xlsx,
河北,2023,历史,日语,576,5790,本科批,hebut_hebei.xlsx,
河北,2024,历史,日语,597,4770,本科批,hebut_hebei.xlsx,
河北,2025,历史,日语,604,5123,本科批,hebut_hebei.xlsx,
河北,2023,历史,法语,580,5192,本科批,hebut_hebei.xlsx,
河北,2024,历史,法语,597,4770,本科批,hebut_hebei.xlsx,
河北,2025,历史,法语,603,5338,本科批,hebut_hebei.xlsx,
河北,2023,物理,电气工程及其自动化（卓越工程师班）,,,本科批,hebut_hebei.xlsx,
河北,2024,物理,电气工程及其自动化（卓越工程师班）,,,本科批,hebut_hebei.xlsx,
河北,2025,物理,电气工程及其自动化（卓越工程师班）,630,9436,本科批,hebut_hebei.xlsx,
河北,2023,物理,电子信息工程（人工智能新工科试点班）,611,11071,本科批,hebut_hebei.xlsx,
河北,2024,物理,电子信息工程（人工智能新工科试点班）,610,11140,本科批,hebut_hebei.xlsx,
河北,2025,物理,电子信息工程（人工智能新工科试点班）,626,11148,本科批,hebut_hebei.xlsx,
河北,2023,物理,电气工程及其自动化,609,11883,本科批,hebut_hebei.xlsx,
河北,2024,物理,电气工程及其自动化,608,12000,本科批,hebut_hebei.xlsx,
河北,2025,物理,电气工程及其自动化,624,12091,本科批,hebut_hebei.xlsx,
河北,2023,物理,电子科学与技术（卓越工程师班）,607,12700,本科批,hebut_hebei.xlsx,
河北,2024,物理,电子科学与技术（卓越工程师班）,606,12898,本科批,hebut_hebei.xlsx,
河北,2025,物理,电子科学与技术（卓越工程师班）,622,13077,本科批,hebut_hebei.xlsx,
河北,2023,物理,计算机科学与技术,608,12287,本科批,hebut_hebei.xlsx,
河北,2024,物理,计算机科学与技术,607,12449,本科批,hebut_hebei.xlsx,
河北,2025,物理,计算机科学与技术,621,13587,本科批,hebut_hebei.xlsx,
河北,2023,物理,电子信息工程,606,13151,本科批,hebut_hebei.xlsx,
河北,2024,物理,电子信息工程,606,12898,本科批,hebut_hebei.xlsx,
河北,2025,物理,电子信息工程,621,13587,本科批,hebut_hebei.xlsx,
河北,2023,物理,人工智能,605,13587,本科批,hebut_hebei.xlsx,
河北,2024,物理,人工智能,605,13385,本科批,hebut_hebei.xlsx,
河北,2025,物理,人工智能,620,14098,本科批,hebut_hebei.xlsx,
河北,2023,物理,数据科学与大数据技术,607,12700,本科批,hebut_hebei.xlsx,
河北,2024,物理,数据科学与大数据技术,605,13385,本科批,hebut_hebei.xlsx,
河北,2025,物理,数据科学与大数据技术,619,14636,本科批,hebut_hebei.xlsx,
